2315000,suwannee river near benton,qs,SR
2315500,suwannee river at white springs,qs,SR
2317620,alapaha river near jennings fla,qs,SR
2319000,withlacoochee river near pinetta fla,qs,SR
2319394,withlacoochee river nr lee,qs,SR
2319500,suwannee river at ellaville,qs,SR
2319800,suwannee river at dowling park,qs,SR
2320000,suwannee river at luraville,qs,SR
2320500,suwannee river at branford,qs,SR
2320700,santa fe river near graham,qr,SR
2321000,new river near lake butler,qr,SR
2322700,ichetucknee river at us hwy27 near hildreth,qr,SR
2321500,santa fe river near worthington springs,qs,SR
2321975,santa fe river at us hwy 441 near high springs,qs,SR
2322500,santa fe river near fort white,qs,SR
2322800,santa fe river near hildreth,qs,SR
2323500,suwannee river near wilcox,qs,SR
2323592,suwannee river ab gopher river nr suwannee,qs,SR
2313700,waccasassa river nr gulf hammock,qr,SR
2324000,steinhatchee river near cross city,qr,SR
2324400,fenholloway river near foley,qr,SR
2324500,fenholloway river at foley,qs,SR
2325000,fenholloway river near perry,qs,SR
2326000,econfina river near perry,qr,SR
2326526,wacissa river nr wacissa,qr,SR
2326500,aucilla river at lamont,qr,SR
2326550,aucilla river nr mouth near nutall rise,qs,SR
n011117008,madison blue spring nr blue springs fl,qr,SR
n011120012,pot spring,qr,SR
n011121006,tanner spring,qr,SR
s020302004,wacissa headspring,qr,SR
s020301003,aucilla spring on the wacissa river,qr,SR
s020312005,garner springs  on the wacissa river,qr,SR
s020312004,buzzard log springs  on the wacissa river,qr,SR
s020312003,blue springs on the wacissa river,qr,SR
s020312006,minnow springs  on the wacissa river,qr,SR
s020301002,cassida springs  on the wacissa river,qr,SR
s020312002,big blue spring nr wacissa fl,qr,SR
n021130001,hardee/ rossiter spring,qr,SR
s020529001,walker spring,qr,SR
s011110009,morgan spring,qr,SR
n011235002,alapaha rise nr ft union,qr,SR
s011219003,lime springs,qr,SR
n011331001,holton springs near ft. union fl,qr,SR
s011124005,ellaville springs at ellaville,qr,SR
s011124004,suwanacoochee springs,qr,SR
s011219004,lime run sink,qr,SR
s011135001,anderson spring,qr,SR
s021129004,fara springs,qr,SR
s011417001,suwannee springs near live oak  fl,qr,SR
s050706005,hampton spring,qr,SR
s040724029,folson park spring in perry fl,qr,SR
s031120004,shirley springs,qr,SR
s050716001,waldo spring,qr,SR
s031130005,un named spring,qr,SR
s021505011,louise springs,qr,SR
s060609001,big springs,qr,SR
s021510003,blue sink near white springs,qr,SR
s041105002,allen mill pond,qr,SR
s041104001,charles spring near dell fl,qr,SR
s021607004,white sulphur springs at white springs,qr,SR
s021618003,un named spring,qr,SR
s021607011,un named spring,qr,SR
s041121001,lafayette blue springs,qr,SR
s021611006,bell springs near white springs,qr,SR
s060636001,un named spring,qr,SR
s041127003,un named spring,qr,SR
s041229001,luraville springs,qr,SR
s060727001,spring warrior spring,qr,SR
s041220001,bonnett springs,qr,SR
s041135009,perry springs,qr,SR
s041125001,telford spring near luraville  fl,qr,SR
s041220005,peacock spring,qr,SR
s041228014,running springs (east),qr,SR
s041228002,running springs (west),qr,SR
s070716004,jabo camp spring,qr,SR
s041235005,convict spring near mayo fl,qr,SR
s041234004,bath tub springs,qr,SR
s061512003,devil's eye spring nr hildreth  fl,qr,SR
s061607003,mission springs complex nr hildreth  fl,qr,SR
s061513008,coffee spring nr hildreth  fl,qr,SR
s061513001,mill pond spring nr hildreth  fl,qr,SR
s061618006,grassy hole nr hildreth fl,qr,SR
s090915002,bradley springs,qr,SR
s071401009,trail spring group,qr,SR
s061532013,betty springs,qr,SR
s061535012,oasis springs,qr,SR
s061536031,sunbeam springs,qr,SR
s090923005,eva spring on the steinhatchee river,qr,SR
s061536030,jamison springs,qr,SR
s071426001,fletcher spring nr hatchbend  fl,qr,SR
s071426002,turtle spring near hatchbend fl,qr,SR
s071606004,wilson springs,qr,SR
s081405004,pothole spring near lake city,qr,SR
s081409002,rock bluff springs nr bell  fl,qr,SR
s081420001,guaranto springs,qr,SR
s051201001,royal spring near alton fl,qr,SR
s051201006,suwannee blue spring,qr,SR
s051307007,ravine spring (suw718971),qr,SR
s070830002,blue creek spring nr keaton beach,qr,SR
s051317002,owens spring,qr,SR
s080701011,cedar island spring,qr,SR
s051321001,mearson spring near mayo florida,qr,SR
s051334002,troy spring near branford fla,qr,SR
s061301006,ruth spring near branford fl,qr,SR
s061301001,little river springs nr branford  fl,qr,SR
s071034004,iron spring on the steinhatchee river,qr,SR
s061420002,branford springs at branford fl,qr,SR
s081021006,steinhatchee rise,qr,SR
s061428010,shingle springs,qr,SR
s061512002,ichetucknee head spring nr hildreth  fl,qr,SR
s061607002,blue hole spring nr hildreth fl,qr,SR
s061607017,cedar head spring nr hildreth  fl,qr,SR
s061829003,santa fe spring,qr,SR
s071634017,twin springs,qr,SR
s071634011,deer springs,qr,SR
s071634016,sawdust spring,qr,SR
s071634006,ginnie spring nr high springs fl,qr,SR
s071634005,july spring,qr,SR
s071634013,dogwood springs,qr,SR
s071634015,little devils,qr,SR
s071634014,devil eye santa fe river,qr,SR
s071634012,devils ear santa fe river,qr,SR
s071714001,santa fe river rise near high springs  fl,qr,SR
s071635003,blue spring in gilchrist county,qr,SR
s071635009,un named spring,qr,SR
s071635004,rum island spring,qr,SR
s061932013,worthington springs at worthington springs,qr,SR
s071636002,lilly springs,qr,SR
s071636005,pickard springs,qr,SR
s071731004,un named spring,qr,SR
s071727014,darby springs,qr,SR
s071727012,treehouse spring,qr,SR
s081706005,poe springs near high springs  fl,qr,SR
s071727010,hornsby springs near high springs fl,qr,SR
s091408006,lumber camp spring nr wannee,qr,SR
s091417003,sun springs near wannee  fl,qr,SR
s091324024,mccrabb springs,qr,SR
s091325024,iron springs,qr,SR
s091430001,hart spring nr wilcox fla,qr,SR
s101312010,little copper spring,qr,SR
s101406010,un named spring,qr,SR
s101406002,otter springs near wilcox  fl,qr,SR
s101313001,copper springs,qr,SR
s101419006,bell spring near oldtown fl,qr,SR
s101429027,little fanning springs nr fanning springs  fl,qr,SR
s101429001,fanning springs nr wilcox fl,qr,SR
s111326002,manatee spring nr chiefland fl,qr,SR
s121610002,blue spring near bronson,qr,SR
s141707001,wekiva springs near gulf hammock,qr,SR
rocksink_spr,rock sink spring,qr,SR
iche_springs,ichetucknee springs group,qr,SR
wacissa_springs,wacissa springs group,qr,SR
lsf_springs,santa fe river springs group (ds from new river),qr,SR
silver_springs,silver springs group,qr,SJR
14802773,wadesboro spg,qr,SJR
8242749,green cove spg,qr,SJR
14782771,glen spg,qr,SJR
14792772,boulware spg,qr,SJR
10362775,orange spg,qr,SJR
28595028,fish hook # 2 spg,qr,SJR
28555023,fish hook # 1 spg,qr,SJR
28565024,sims spg marion,qr,SJR
28545102,bright angel spg,qr,SJR
28495015,blue spg marion,qr,SJR
28464991,riversites spg,qr,SJR
10943293,tobacco patch,qr,SJR
16843294,wells landing,qr,SJR
11291648,nashua spg,qr,SJR
460053,satsuma spg,qr,SJR
15881697,welaka spg,qr,SJR
432657,mud spg,qr,SJR
400047,forest spg,qr,SJR
11562199,croaker hole spg,qr,SJR
390046,beecher spg,qr,SJR
341901,salt spg,qr,SJR
31873552,silver r distribut 1,qr,SJR
31883551,silver r distrib of1,qr,SJR
10863094,chimney spg,qr,SJR
351900,silver glen spg,qr,SJR
361904,sweetwater spg,qr,SJR
321898,juniper spg,qr,SJR
311899,fern hammock spg,qr,SJR
31893549,morman brch spg,qr,SJR
291896,alexander spg,qr,SJR
301897,ponce de leon spg,qr,SJR
90089008,mosquito spg run,qr,SJR
14812774,la noche spg,qr,SJR
10840068,bugg spg,qr,SJR
90059005,mooring cove spg,qr,SJR
10241178,blue spg yalaha,qr,SJR
90079007,sun eden spg,qr,SJR
90069006,sandys spg,qr,SJR
28074877,ladies parlor,qr,SJR
28044874,bridal chamber,qr,SJR
28184888,devils kitchen a,qr,SJR
28164886,catfish reception,qr,SJR
28054875,devils kitchen b,qr,SJR
28064876,jacobs well,qr,SJR
28144884,alligator hole,qr,SJR
28224892,mammoth,qr,SJR
31843538,ssg-mammoth,qr,SJR
28034873,blue grotto,qr,SJR
28204890,geyser,qr,SJR
28104880,oscar,qr,SJR
28084878,mastodon bone,qr,SJR
28194889,garden of eden,qr,SJR
28174887,christmas tree,qr,SJR
28475010,lost r,qr,SJR
28244894,shipwreck,qr,SJR
28154885,catfish hall,qr,SJR
28214891,indian cave,qr,SJR
28094879,no name cove,qr,SJR
28114881,second fishermans,qr,SJR
28134883,turtle nook run,qr,SJR
28234893,racoon is,qr,SJR
28124882,turtle nook,qr,SJR
28254895,timber,qr,SJR
crescent_spr,crescent beach springs,qr,SJR
